4223d2a0-58dc-4aaf-8ed7-a2a85e70ebde;PILOTING2;5;4;2;1;0;10000;0;0;1;1;
7d1f0b6a-1187-435c-9663-9990eb5ffba9;REACTOR4;3;2;2;2;0;8000;0;0;37;0;1;
26df3bea-817a-45d3-8040-ef857413d6dd;OXYGEN1;1;3;2;1;0;1000;1;0;1;1;1;
c4ffb6d6-f05a-402b-91c8-022df8a287d0;DOOR_CONTROL4;5;5;2;1;0;4000;0;0;1;1;1;
83978812-dcb0-4ed7-8c05-048bb972e075;ENGINES3;1;6;2;1;0;1800;0;0;1;1;1;
eec55599-c617-4bfd-83ba-5a334f3b7577;HYPERDRIVE2;10;4;2;2;0;3000;0;0;45;0;1;
cf43231b-c6b5-4094-b67e-a4591e4af349;SHIELDS2;3;6;2;2;0;2000;4;0;39;0;1;
841baeb4-90ac-41bb-b3a6-4f60fcfe2823;Triple_laser3;7;4;2;2;0;1900;3;2280;60;1;0.0;0.0;0.0;0;
5a4dd241-df48-45a8-9d81-e5936c8e465f;WEAPONS_CONTROL1;9;4;1;2;0;2000;0;0;22;1;
b0d04c19-9666-43f5-bb69-f5e0d2e4a629;SENSORS1;12;4;1;2;0;1000;0;0;21;1;1;
