6ec3486c-1d60-41ff-be2f-15ce6a6c0aaa;PILOTING2;9;6;2;1;0;10000;0;0;14;1;
94463ad6-a74f-4753-ad32-80d47cacb0d8;REACTOR4;9;7;2;2;0;8000;0;0;39;0;1;
1bcd84ab-112f-4971-87dc-5ddcd5f23f04;OXYGEN3;7;7;2;1;0;1000;3;0;3;1;1;
46546aa9-13b6-4062-a60b-d7a210b26ddc;DOOR_CONTROL5;2;6;2;1;0;5000;0;0;1;1;1;
0e17b3e2-b663-4f7c-882d-ec34c369b73a;ENGINES4;4;5;2;1;0;2000;0;0;7;1;1;
06100ca4-d97a-4615-a315-8fa1b8283884;HYPERDRIVE2;3;8;2;2;0;3000;0;0;40;0;1;
e4c897e9-90db-4ce1-88d3-53187b1d1e3d;SHIELDS2;3;3;2;2;0;2000;4;0;38;0;1;
578fd98b-a047-41ee-830f-833d4d7c05c0;BOU_Pierce_laser1;13;4;2;2;0;1300;2;1520;38;1;300.0;7992.0;3912.0;0;
d7ed4ba0-5206-4aea-9183-4e37d78f1ea3;BOU_Heavy_flamer4;13;7;2;2;0;1400;1;520;37;1;303.0;8232.0;4008.0;0;
c800b700-e273-4168-9b5d-313e00574275;WEAPONS_CONTROL1;15;6;2;1;0;2000;0;0;1;1;
fba31dfd-ebbb-4dcf-b83b-3ffd6c956d84;SENSORS1;4;6;2;1;0;1000;0;0;15;1;1;
d14a81d9-ea1a-4ae7-b4f2-2517055d32e4;CAPACITOR2;13;6;2;1;0;4000;0;0;0;0;
364d2022-eb49-43b7-bc9d-f133de49f0a6;BOU_TELEPORT2;7;5;2;1;0;1000;2;1600;2;1;1;
